[2025-04-11 16:38:44,728 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-04-11 16:38:46,387 ] 18 root - INFO - Initiate the data ingestion
[2025-04-11 16:38:48,054 ] 59 root - INFO - Performed train test split on the dataframe
[2025-04-11 16:38:48,054 ] 60 root - INFO - Existed split_data_as_train_test method of Data_Ingestion class
[2025-04-11 16:38:48,054 ] 65 root - INFO - Exporting train and test file path
[2025-04-11 16:38:48,101 ] 72 root - INFO - Exported train and test file path
[2025-04-11 16:38:48,101 ] 20 root - INFO - Data ingestion completed
[2025-04-11 16:38:48,117 ] 25 root - INFO - Initiate the data validation
[2025-04-11 16:38:48,162 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:38:48,162 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:38:48,162 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:38:48,162 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:38:48,285 ] 27 root - INFO - Data validation completed
[2025-04-11 16:38:48,285 ] 31 root - INFO - Data transformation started
[2025-04-11 16:38:48,285 ] 45 root - INFO - Entered Data transformation method of datatransformation clas
[2025-04-11 16:38:48,285 ] 47 root - INFO - Started data transformation
