[2025-04-11 16:36:41,860 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-04-11 16:36:43,562 ] 18 root - INFO - Initiate the data ingestion
[2025-04-11 16:36:44,983 ] 59 root - INFO - Performed train test split on the dataframe
[2025-04-11 16:36:44,983 ] 60 root - INFO - Existed split_data_as_train_test method of Data_Ingestion class
[2025-04-11 16:36:44,983 ] 65 root - INFO - Exporting train and test file path
[2025-04-11 16:36:45,030 ] 72 root - INFO - Exported train and test file path
[2025-04-11 16:36:45,030 ] 20 root - INFO - Data ingestion completed
[2025-04-11 16:36:45,046 ] 25 root - INFO - Initiate the data validation
[2025-04-11 16:36:45,097 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:36:45,097 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:36:45,097 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:36:45,097 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:36:45,227 ] 27 root - INFO - Data validation completed
