[2025-04-11 16:34:48,002 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-04-11 16:34:50,080 ] 18 root - INFO - Initiate the data ingestion
[2025-04-11 16:34:51,555 ] 59 root - INFO - Performed train test split on the dataframe
[2025-04-11 16:34:51,556 ] 60 root - INFO - Existed split_data_as_train_test method of Data_Ingestion class
[2025-04-11 16:34:51,556 ] 65 root - INFO - Exporting train and test file path
[2025-04-11 16:34:51,612 ] 72 root - INFO - Exported train and test file path
[2025-04-11 16:34:51,612 ] 20 root - INFO - Data ingestion completed
[2025-04-11 16:34:51,625 ] 25 root - INFO - Initiate the data validation
[2025-04-11 16:34:51,673 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:34:51,674 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:34:51,674 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:34:51,674 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:34:51,811 ] 27 root - INFO - Data validation completed
