[2025-04-11 16:40:40,049 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2025-04-11 16:40:41,723 ] 18 root - INFO - Initiate the data ingestion
[2025-04-11 16:40:43,178 ] 59 root - INFO - Performed train test split on the dataframe
[2025-04-11 16:40:43,178 ] 60 root - INFO - Existed split_data_as_train_test method of Data_Ingestion class
[2025-04-11 16:40:43,178 ] 65 root - INFO - Exporting train and test file path
[2025-04-11 16:40:43,240 ] 72 root - INFO - Exported train and test file path
[2025-04-11 16:40:43,240 ] 20 root - INFO - Data ingestion completed
[2025-04-11 16:40:43,240 ] 25 root - INFO - Initiate the data validation
[2025-04-11 16:40:43,291 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:40:43,292 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:40:43,292 ] 35 root - INFO - Required number of columns:2
[2025-04-11 16:40:43,292 ] 36 root - INFO - Data frame has columns:31
[2025-04-11 16:40:43,433 ] 27 root - INFO - Data validation completed
[2025-04-11 16:40:43,433 ] 31 root - INFO - Data transformation started
[2025-04-11 16:40:43,433 ] 45 root - INFO - Entered Data transformation method of datatransformation clas
[2025-04-11 16:40:43,433 ] 47 root - INFO - Started data transformation
